Oil_store,주소,가격,셀프,상표
산청군농협단성지소,경남 산청군 단성면 목화로 954,1630,N,NH-OIL
금호주유소(생비량),경남 산청군 생비량면 지리산대로 4279,1640,N,GS칼텍스
원지주유소(SK),경남 산청군 신안면 원지로 6-3,1640,N,SK에너지
덕천강주유소(SK),경남 산청군 단성면 옥단로 1871,1640,N,SK에너지
차황주유소,경남 산청군 차황면 신차로 1787,1640,N,GS칼텍스
만두주유소,경남 산청군 신안면 지리산대로 3683,1640,N,현대오일뱅크
강성주유소,경남 산청군 단성면 지리산대로 3184,1640,Y,S-OIL
덕산주유소,경남 산청군 시천면 남명로 214,1640,Y,알뜰주유소
단계주유소,경남 산청군 신안면 신차로 481,1640,N,현대오일뱅크
신원주유소,경남 산청군 시천면 남명로 354,1640,N,SK에너지
지리산주유소,경남 산청군 단성면 지리산대로 2336,1640,Y,GS칼텍스
대원주유소,경남 산청군 삼장면 평촌유평로 4,1640,N,현대오일뱅크
고속주유소,경남 산청군 금서면 친환경로 2582,1640,N,SK에너지
웅석주유소,경남 산청군 산청읍 산청대로 1812,1640,N,GS칼텍스
천왕봉주유소,경남 산청군 시천면 지리산대로 1270,1650,N,현대오일뱅크
삼거리주유소,경남 산청군 생비량면 지리산대로 4761,1669,N,현대오일뱅크
경남주유소,경남 산청군 산청읍 꽃봉산로 166,1680,N,현대오일뱅크
우리주유소,경남 산청군 산청읍 웅석봉로 49,1680,N,GS칼텍스
생초주유소,경남 산청군 생초면 산수로 1040,1699,N,GS칼텍스
양산주유소,경남 양산시 중앙로 192 (북부동),1588,Y,SK에너지
참조은주유소,경남 양산시 하북면 양산대로 2325,1589,Y,알뜰주유소
양천석유(주)덕진주유소,경남 양산시 하북면 양산대로 2390,1589,N,SK에너지
비케이에너지(주) 석산주유소,경남 양산시 동면 양산대로 602,1589,Y,현대오일뱅크
양산IC주유소,경남 양산시 공단로 51 (북정동),1593,Y,알뜰주유소
오케이주유소,경남 양산시 웅상대로 1180 (명동),1598,Y,SK에너지
풀무원식품(주) 양산(서울방향)주유소,경남 양산시 동면 목장길 15-50,1598,Y,알뜰(ex)
법기주유소,경남 양산시 동서로 346,1598,Y,현대오일뱅크
동해고속주유소,경남 양산시 웅상대로 1000 (주진동),1598,Y,GS칼텍스
(주)태영에너지 웅상주유소,경남 양산시 웅상대로 1228,1598,Y,현대오일뱅크
양산TG주유소,경남 양산시 양산대로 1126,1599,Y,SK에너지
㈜천일에너지 천일주유소,경남 양산시 양산대로 1088,1599,Y,SK에너지
부자주유소,경남 양산시 중앙로 19,1599,Y,현대오일뱅크
한솔유화㈜양산점 한길주유소,경남 양산시 양산대로 1120 (북정동),1599,Y,현대오일뱅크
양산대로주유소,경남 양산시 양산대로 1113 (북정동),1599,Y,SK에너지
대양석유(주) 양산스마일주유소,경남 양산시 동면 양산대로 414,1599,Y,SK에너지
태종석유 석산알뜰주유소,경남 양산시 동면 양산대로 505,1599,Y,알뜰주유소
대양석유(주)참사랑주유소,경남 양산시 양산대로 1029 (북정동),1599,Y,SK에너지
비케이원(주) 도륜대주유소,경남 양산시 상북면 양산대로 1839,1599,Y,현대오일뱅크
세종석유(주)성광주유소,경남 양산시 양산대로 1100 (북정동),1599,Y,S-OIL
(주)수경유조 양산점 용연주유소,경남 양산시 하북면 양산대로 2053,1599,Y,현대오일뱅크
강변주유소,경남 양산시 상북면 양산대로 1545,1605,Y,SK에너지
양산농협주유소,경남 양산시 양산대로 951,1605,N,NH-OIL
(주)북정주유소,경남 양산시 양산대로 1101 (북정동),1609,N,S-OIL
다복주유소,경남 양산시 노포사송로 828 (다방동),1609,N,현대오일뱅크
통도사(부산)주유소,경남 양산시 하북면 경부고속도로 31-1,1609,Y,알뜰(ex)
대양산업(주) 대양양산주유소,경남 양산시 상북면 양산대로 1354,1614,Y,GS칼텍스
세기상사㈜ 양산제일주유소,경남 양산시 중앙로 33,1615,N,S-OIL
세기상사(주) 양산중앙주유소,경남 양산시  신기로 69 (북정동),1615,Y,S-OIL
명곡셀프주유소,경남 양산시 웅상대로 1125  (명동),1618,Y,GS칼텍스
호림주유소,경남 양산시 하북면 양산대로 2525,1618,N,현대오일뱅크
초산주유소,경남 양산시 하북면 양산대로 2501,1618,N,GS칼텍스
신덕계클린주유소,경남 양산시 덕명로 48 (덕계동 177-34),1618,Y,알뜰주유소
(주)삼화에너지삼화주유소,경남 양산시 중앙로 18 (다방동),1618,Y,GS칼텍스
우리주유소,경남 양산시 하북면 삼동로 43,1618,Y,S-OIL
금산주유소,경남 양산시 동면 양산대로 410,1619,Y,S-OIL
물금농협원동지점주유소,경남 양산시 원동면 원동마을길 73,1620,N,S-OIL
대석주유소,경남 양산시 상북면 양산대로 1449,1628,N,S-OIL
덕우주유소,경남 양산시 웅상대로 784 (덕계동),1628,Y,S-OIL
(주)성우에너지 고품격월드주유소,경남 양산시 웅상대로 1272 (삼호동),1628,Y,S-OIL
포유주유소,경남 양산시 어곡터널로 40 (유산동),1629,Y,GS칼텍스
양산에너지마트주유소,경남 양산시 양산역5길 2 (중부동),1629,Y,알뜰주유소
OS에너지 터미널주유소,경남 양산시 물금읍 제방로 21,1629,Y,GS칼텍스
호포주유소,경남 양산시 동면 양산대로 21,1629,Y,GS칼텍스
유명주유소,경남 양산시 웅상대로 811 (덕계동),1635,Y,S-OIL
㈜서광종합상사 고연주유소,경남 양산시 웅상대로 1533 (용당동),1637,N,현대오일뱅크
지에스칼텍스(주)덕계대성주유소,경남 양산시 웅상대로 862 (덕계동),1638,Y,GS칼텍스
양산신도시주유소,경남 양산시 동면 양산대로 407,1638,Y,GS칼텍스
영신주유소,경남 양산시 하북면 양산대로 1937,1638,N,GS칼텍스
신도시햇살주유소,경남 양산시 삽량로 201 (중부동),1639,Y,S-OIL
새동네주유소,경남 양산시 하북면 양산대로 2294,1648,N,S-OIL
환타지아주유소,경남 양산시 하북면 양산대로 2270,1649,N,SK에너지
신화주유소,경남 양산시 상북면 와곡강변길 22,1649,Y,GS칼텍스
부원주유소,경남 양산시 원동면 원동로 616,1650,N,GS칼텍스
증산셀프주유소,경남 양산시 물금읍 증산역로 158,1657,Y,SK에너지
동안주유소,경남 양산시 어실로 195 (어곡동),1657,N,S-OIL
대진주유소,경남 양산시 웅상대로 745 (덕계동),1658,N,SK에너지
위너스주유소,경남 양산시 웅상대로 863 (덕계동),1658,N,SK에너지
대동주유소,경남 양산시 어실로 165 (어곡동),1659,N,GS칼텍스
내원주유소,경남 양산시 하북면 양산대로 1964,1659,N,S-OIL
현대오일뱅크㈜직영 양산대로주유소,경남 양산시 상북면 양산대로 1229,1659,N,현대오일뱅크
(주)건연화물석계주유소,경남 양산시 상북면 상북중앙로 369,1659,N,현대오일뱅크
새양산IC주유소,경남 양산시 상북면 어곡터널로 181,1659,Y,GS칼텍스
SK에너지(주)천마,경남 양산시 웅상대로 795 (덕계동),1659,N,SK에너지
동양주유소,경남 양산시 상북면 상북중앙로 132,1667,N,GS칼텍스
삼호주유소,경남 양산시 서창로 226 (삼호동),1668,N,GS칼텍스
꿈나무주유소,경남 양산시 웅상대로 1313 (삼호동),1668,N,현대오일뱅크
비학에너지(주)셀프,경남 양산시 상북면 와곡4길 34,1668,Y,S-OIL
대양석유(주)범어주유소,경남 양산시 물금읍 황산로 743,1669,Y,SK에너지
지에스칼텍스(주)부성주유소,경남 양산시 양산대로 1024 (북정동),1669,Y,GS칼텍스
양산공단주유소,경남 양산시 충렬로 167 (유산동),1678,N,SK에너지
(주)에너지원 행복가득주유소,경남 양산시 양산대로 684 (남부동),1678,N,현대오일뱅크
남양산 IC 주유소,경남 양산시 동면 양산대로 538,1679,N,SK에너지
대경주유소,경남 양산시 충렬로 221 (유산동),1679,N,현대오일뱅크
양산목련주유소,경남 양산시 남부로 29 (남부동),1685,N,S-OIL
비학에너지(주)주유소충전소,경남 양산시 상북면 양산대로 1510,1688,Y,S-OIL
화룡주유소,경남 양산시 어실로 307 (어곡동),1698,N,SK에너지
